GPUID:0-0 Game Deck:0: Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:,17,& turns:13 and average time of game (hh:mm:ss) = 00:00:04Time taken:00:00:04
GPUID:1-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-14,& turns:16 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:10-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-4,& turns:14 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:100-0 Game Deck:0: Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:,30,& turns:11 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:101-0 Game Deck:0: Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:,30,& turns:13 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:102-0 Game Deck:0: Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:,23,& turns:13 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:103-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-4,& turns:20 and average time of game (hh:mm:ss) = 00:00:02Time taken:00:00:02
GPUID:104-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-7,& turns:16 and average time of game (hh:mm:ss) = 00:00:02Time taken:00:00:02
GPUID:105-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-14,& turns:14 and average time of game (hh:mm:ss) = 00:00:02Time taken:00:00:02
GPUID:106-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-17,& turns:14 and average time of game (hh:mm:ss) = 00:00:02Time taken:00:00:02
GPUID:107-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-14,& turns:16 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:108-0 Game Deck:0: Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:,-20,& turns:16 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:109-0 Game Deck:0: Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:,18,& turns:13 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
GPUID:11-0 Game Deck:0: Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:,26,& turns:13 and average time of game (hh:mm:ss) = 00:00:01Time taken:00:00:01
